company,address,start_year,end_year,type,lat,lon
Automatic Button Company,"301-311 Mulberry Ave, Muscatine, Iowa",1903,1967,finishing plant,41.42511,-91.041665
Excelsior Pearl Button Company,Mulberry Avenue at the northwest corner of 3rd street,1899,1900,finishing plant,41.42452,-91.042719
Lewis Moore,Orange street between Mississippi Drive,1899,1900,cutting shop,41.423135,-91.038878
Brogan & Stiles,"211 Orange St, Muscatine, Iowa",1900,1900,finishing plant,41.427125,-91.043218
New York Button Company,"223 Orange St, Muscatine, Iowa",1899,1900,finishing plant,41.427125,-91.043218
Hawkeye Pearl Button Company,"201-215 Orange St, Muscatine, Iowa",1907,1913,finishing plant,41.427125,-91.043218
Hawkeye Pearl Button Company,"601-613 E 2nd St, Muscatine, Iowa",1914,1965,finishing plant,41.424319,-91.040578
Vienna Pearl Button Company,"600-604 E 3rd St, Muscatine, Iowa",1902,1916,cutting shop,41.424319,-91.040578
Pennant Pearl Button Company,"600-604 E 3rd St, Muscatine, Iowa",1919,1939,cutting shop,41.424319,-91.040578
Iowa Pearl Button Company,"600-604 E 3rd St, Muscatine, Iowa",1958,1959,cutting shop,41.424319,-91.040578
Solonen Blank Cutting Shop,"615 E 4th St, Muscatine, Iowa",1938,1946,cutting shop,41.419756,-91.053158
Hawkeye Button Company (Cutting Shop),"701-705 E Mississippi Dr, Muscatine, Iowa",1921,1937,cutting shop,41.417002,-91.05175
Morgan Button Company,"100 Spring St, Muscatine, Iowa",1910,1911,cutting shop,41.426701,-91.040037
Boepple Button Comapny,"701 E 3rd St, Muscatine, Iowa",1897,1904,finishing plant,41.41858,-91.053298
Pioneer Pearl Button Company,"701 E 3rd St, Muscatine, Iowa",1910,1911,finishing plant,41.41858,-91.053298
US Button Company,"701 E 3rd St, Muscatine, Iowa",1913,1941,finishing plant,41.41858,-91.053298
Tice & Klebey,"323 Oak St, Muscatine, Iowa",1900,1900,finishing plant,41.425749,-91.040427
Co-Operative Button Company,"323 Oak St, Muscatine, Iowa",1902,1903,finishing plant,41.425749,-91.040427
Empire Button Company,"327 Oak St, Muscatine, Iowa",1910,1913,finishing plant,41.425781,-91.040455
(Paul) Schreurs Button Company,"327 Oak St, Muscatine, Iowa",1916,1924,finishing plant,41.425781,-91.040455
Empire City Button Works,"700 E 4th St, Muscatine, Iowa",1904,1909,finishing plant,41.418655,-91.054778
Pressloid Company,"700 E 4th St, Muscatine, Iowa",1919,1919,finishing plant,41.418655,-91.054778
Hubble Cutting Plant,"409 Oak St, Muscatine, Iowa",1919,1919,cutting shop,41.426394,-91.041065
Hubble Cutting Plant,"705-707 E 4th St, Muscatine, Iowa",1921,1924,cutting shop,41.419583,-91.054504
Schwalm Cutting Plant,"705-707 E 4th St, Muscatine, Iowa",1927,1949,cutting shop,41.419583,-91.054504
Phil A. Hunter Button Blank factory,Mad Creek Bottoms,1905,1905,cutting shop,41.424178,-91.036513
J.C. Ohaver,Mad Creek Bottoms,1907,1907,cutting shop,41.424178,-91.036513
Storms Button Company,Mad Creek Bottoms,1910,1911,cutting shop,41.424178,-91.036513
"George P, Christopherson",Mad Creek Bottoms,1913,1913,cutting shop,41.424178,-91.036513
Harry H. Wells,Mad Creek Bottoms,1913,1916,cutting shop,41.424178,-91.036513
Jesse Viner,Mad Creek Bottoms,1919,1919,cutting shop,41.424178,-91.036513
J.L. Rankin,"828 E Mississippi Dr, Muscatine, Iowa",1916,1916,cutting shop,41.416277,-91.052019
J.W. Hartman,"880 E 2nd St, Muscatine, Iowa",1919,1919,cutting shop,41.425821,-91.037332
Clanrence H. Perkins,"880 E 2nd St, Muscatine, Iowa",1921,1921,cutting shop,41.425821,-91.037332
Muscatine Pearl Cutting Plant,"880 E 2nd St, Muscatine, Iowa",1923,1924,cutting shop,41.425821,-91.037332
Viner & Wells,"822 E 2nd St, Muscatine, Iowa",1910,1911,cutting shop,41.425468,-91.037959
C. Malone,"800-880 E 2nd St, Muscatine, Iowa",1919,1924,cutting shop,41.425587,-91.038055
Leo H. Hirsch & Company,"800-900 E 4th St, Muscatine, Iowa",1902,1941,finishing plant,41.423269,-91.046597
Elmer Franklin,"814 E 5th St, Muscatine, Iowa",1916,1916,cutting shop,41.427787,-91.04041
Ideal Button Company,"905 E 4th St, Muscatine, Iowa",1910,1911,cutting shop,41.418469,-91.055814
Andrew Schiltz,"E 3rd St at ,mad Creek",1910,1911,cutting shop,41.426683,-91.038053
Summit & Perkins,"E 3rd St at ,mad Creek",1910,1911,cutting shop,41.426683,-91.038053
Star Pearl Button Company,"E 3rd St at ,mad Creek",1919,1924,cutting shop,41.426683,-91.038053
Giesler & Stewart Pearl Button Factory,E 4th street at Mad Creek,1905,1905,cutting shop,41.426683,-91.038053
Lewis Button Factory,E 4th street at Mad Creek,1919,1919,cutting shop,41.426683,-91.038053
Jamison Cutting Plant,"1000 E 4th St, Muscatine, Iowa",1919,1929,cutting shop,41.428295,-91.036812
Yarck Brothers Button Company,"1004 E 5th St, Muscatine, Iowa",1921,1924,cutting shop,41.429235,-91.037909
Peter Dove,"1002 E 5th St, Muscatine, Iowa",1908,1909,cutting shop,41.428903,-91.038434
R.M. Summit,"1004 E 5th St, Muscatine, Iowa",1916,1919,cutting shop,41.429235,-91.037909
C. Malone,"1006 e 5TH St, Muscatine, Iowa",1916,1916,cutting shop,41.428929,-91.03839
J.M. Robie,"100 Cypress St, Muscatine, Iowa",1904,1904,cutting shop,41.426752,-91.03653
McClung Button Company,"100 Cypress St, Muscatine, Iowa",1910,1911,cutting shop,41.426752,-91.03653
Frank Cozzens,"1000 E Mississippi Dr, Muscatine, Iowa",1929,1939,cutting shop,41.425572,-91.034304
Bosten Button Factory,"1113 E 2nd St, Muscatine, Iowa",1899,1900,cutting shop,41.427771,-91.034645
Lloyd Axtell,Park Avenue at Foot,1899,1900,cutting shop,41.426933,-91.031187
Viner & Kennison,Park Avenue at Foot,1904,1904,cutting shop,41.426933,-91.031187
D.D. Alderman,Park Avenue at Foot,1907,1907,cutting shop,41.426933,-91.031187
F.E. Elliot,Park Avenue at Foot,1907,1907,cutting shop,41.426933,-91.031187
W.C. Norton,Park Avenue at Foot,1907,1907,cutting shop,41.426933,-91.031187
R.M. Rankin,Park Avenue at Foot,1907,1907,cutting shop,41.426933,-91.031187
Porter Pratt,"1206 Smalley Ave, Muscatine, Iowa",1919,1921,cutting shop,41.42796758,-91.03326057
Malone Button Company,"1206 Smalley Ave, Muscatine, Iowa",1927,1927,cutting shop,41.42796758,-91.03326057
Hoffman Button Company,"1220 Smalley Ave, Muscatine, Iowa",1927,1943,cutting shop,41.427812,-91.032157
Shepard & Franklin,"414 Lee St, Muscatine, Iowa",1916,1919,cutting shop,41.430251,-91.034444
Albert Shepard,"414 Lee St, Muscatine, Iowa",1923,1941,cutting shop,41.430251,-91.034444
Alexander & Sons,"401 E 8th St, Muscatine, Iowa",1902,1903,cutting shop,41.428112,-91.047225
Whittaker Button Factory,"613 E 6th St, Muscatine, Iowa",1921,1949,cutting shop,41.428016,-91.042938
Otto Parker,"611 E 7th St, Muscatine, Iowa",Period of operation unknown,,cutting shop,41.428746,-91.0438
Jacob Rutz,"809 E 9th St, Muscatine, Iowa",1938,1939,cutting shop,41.431198,-91.043775
Herbert Schwalm,"806 E 9th St, Muscatine, Iowa",Period of operation unknown,,cutting shop,41.431249,-91.042956
Rehbehn Brothers,"805 E 9th St, Muscatine, Iowa",1921,1929,cutting shop,41.431645,-91.043585
Royster Button Company,"910 E 7th St, Muscatine, Iowa",1927,1937,cutting shop,41.430179,-91.040445
Harvey M. Campbell,"914 E 7th St, Muscatine, Iowa",1931,1934,cutting shop,41.430299,-91.040349
Muscatine Pearl Company,1008-1014 E 6th Street,1910,1911,finishing plant,41.429703,-91.038654
Muscatine Pearl Company,1008-1014 E 6th Street,1923,1924,finishing plant,41.429703,-91.038654
Weber & Sons Button Company,1008-1014 E 6th Street,1914,2020,finishing plant,41.429703,-91.038654
Levi Cunningham,"1015 E 6th St, Muscatine, Iowa",1919,1921,cutting shop,41.430017,-91.039273
Lindsley & Eutsler,"1017 E 6th St, Muscatine, Iowa",1921,1921,cutting shop,41.430027,-91.039256
Fred Guser,"1006 E 7th St, Muscatine, Iowa",1913,1939,cutting shop,41.430772,-91.03946
George Royster,"1006 E 7th St, Muscatine, Iowa",1916,1919,cutting shop,41.430772,-91.03946
Ernest Morgan,"1006 E 7th St, Muscatine, Iowa",1949,1952,cutting shop,41.430772,-91.03946
Charles Rehbehn,"1010 E 7th St, Muscatine, Iowa",1919,1919,cutting shop,41.430983,-91.039072
Larry D. Clark,"1014 E 7th St, Muscatine, Iowa",1927,1927,cutting shop,41.430567,-91.039886
Wheeler & Stortz,"709 Lombard St, Muscatine, Iowa",1910,1913,cutting shop,41.431746,-91.039329
Wheeler & Storz,"1017 E 9th St, Muscatine, Iowa",1904,1904,cutting shop,41.432871,-91.041037
Charles Wettendorf,"1017 E 9th, Muscatine, Iowa",1916,1916,cutting shop,41.432871,-91.041037
T.R. Davis,"1013 Lombard St, Muscatine, Iowa",1919,1919,cutting shop,41.434086,-91.041516
Reightnouer & Schwalm,"120 Walters St, Muscatine, Iowa",1921,1924,cutting shop,41.434316,-91.039926
C. Malone,"120 Walters St, Muscatine, Iowa",1927,1927,cutting shop,41.434316,-91.039926
E.M. Beverly Cutting plant,"1200 E 10th St, Muscatine, Iowa",1919,1919,cutting shop,41.434373,-91.040149
Banard & Nickey Pearl Button Company,"1112 Mulberry Ave, Muscatine, Iowa",1899,1900,cutting shop,41.430938,-91.048703
Radedeaux Button Company,"1207 Cedar St, Muscatine, Iowa",1910,1911,cutting shop,41.430709,-91.051811
Harry Noble,"1413 Cedar St, Muscatine, Iowa",1943,1943,cutting shop,41.431718,-91.054523
Standard Button Works,"609 E 11th St Muscatine, Iowa",1899,1900,cutting shop,41.431759,-91.047306
Hoffman Brothers,"1209 Orange St, Muscatine, Iowa",1913,1913,cutting shop,41.432976,-91.048654
Schildberg Brothers,"124-126 Maple Ave, Muscatine, Iowa",1913,1927,cutting shop,41.434074,-91.051253
J. Aurthur Schildberg,"124-126 Maple Ave, Muscatine, Iowa",1934,1946,cutting shop,41.434074,-91.051253
Dollman Button Company,"906 Woodlawn Ave, Muscatine, Iowa",1919,1919,cutting shop,41.435323,-91.043995
Hoffman Button Company,"1220 Hoffman St, Muscatine, Iowa",1946,1946,cutting shop,41.437248,-91.047676
Ludwig Resnick,"900 Leroy St, Muscatine, Iowa",1923,1943,cutting shop,41.438938,-91.047205
John Weber,"903-905 Leroy St, Muscatine, Iowa",1904,1913,cutting shop,41.439359,-91.046841
A.G. Schultz,Isett Ave near Bidwell Road,1907,1909,cutting shop,41.438114,-91.043366
Andrew Shultz,Isett Ave near Bidwell Road,1913,1916,cutting shop,41.438114,-91.043366
Shell Processing Company,"1201 E 5th St, Muscatine, Iowa",1952,1959,cutting shop,41.43059,-91.036232
Etter Button Company,"1321 E 5TH St, Muscatine, Iowa",1916,1916,cutting shop,41.431175,-91.033763
Frank Etter,"1321 E 5TH St, Muscatine, Iowa",1923,1924,cutting shop,41.431175,-91.033763
Sam Etter,"1401 E 5th St, Muscatine, Iowa",1921,1921,cutting shop,41.430902,-91.03345
Humpleby Button Company,"114 Sherman St, Muscatine, Iowa",1916,1927,cutting shop,41.433922,-91.030164
Fred Humpleby,"114 Sherman St, Muscatine, Iowa",1929,1941,cutting shop,41.433922,-91.030164
Aurthur Gritton,"119 E Sherman St, Muscatine, Iowa",Date unavailable,,cutting shop,41.434345,-91.029702
Star Pearl Button Company,"1478 Washington St, Muscatine, Iowa",1913,1913,cutting shop,41.435076,-91.03349
Dollman Button Company,"1467 Washington St, Muscatine, Iowa",1916,1921,cutting shop,41.435443,-91.033904
Dollman & Hoffman button Company,"300 Jefferson St, Muscatine, Iowa",1923,1927,cutting shop,41.436019,-91.034067
Dollman Button Company,"300 Jefferson St, Muscatine, Iowa",1936,1937,cutting shop,41.436019,-91.034067
William P. Rodgers,"906 Grand Ave, Muscatine, Iowa",1943,1946,cutting shop,41.435828,-91.032385
Tiedman Button Factory,"2520 Monroe St, Muscatine, Iowa",1913,1921,cutting shop,41.438193,-91.031086
Paul Button Company,"2406 Monroe St, Muscatine, Iowa",1921,1929,cutting shop,41.438193,-91.031086
Schmitt Button Company,"500 Adams St, Muscatine, Iowa",1927,1949,cutting shop,41.439401,-91.036004
Acme pearl Button Company,"500 Adams St, Muscatine, Iowa",1952,1954,cutting shop,41.439401,-91.036004
Clifford A. Paul,"301 1st Ave, Muscatine, Iowa",1943,1946,cutting shop,41.43899773,-91.03495938
Merle B. Mickey,"1206 Grand Ave, Muscatine, Iowa",1943,1943,cutting shop,41.438669,-91.03229
J.A. Irvin Jr.,"1502 Park Ave, Muscatine, Iowa",1919,1921,cutting shop,41.442527,-91.030977
Charles A. Douglas,"1324 Grand Ave, Muscatine, Iowa",1943,1943,cutting shop,41.439948,-91.032283
John F. Moore,"503 Adams St, Muscatine, Iowa",1936,1937,cutting shop,41.439423,-91.036153
Albert Orr,"517 Adams St, Muscatine, Iowa",1916,1916,cutting shop,41.439104,-91.036246
Ivan Goddard,"531 Adams St, Muscatine, Iowa",1934,1943,cutting shop,41.439106,-91.036432
Thomas Summit,"531 Adams St, Muscatine, Iowa",1946,1946,cutting shop,41.439106,-91.036432
Schmitt Button Company,"1224 Adams St, Muscatine, Iowa",1919,1924,cutting shop,41.439256,-91.036377
Earl Lipplegoes,"430 Jackson St, Muscatine, Iowa",1934,1939,cutting shop,41.440377,-91.035051
Tandy Davis,"500 Jackson St, Muscatine, Iowa",1931,1939,cutting shop,41.440066,-91.036126
Gabel Button Factory,"1203 Filmore St, Muscatine, Iowa",1913,1921,cutting shop,41.438686,-91.038077
Harry P. Gabel,"1203 Filmore St, Muscatine, Iowa",1938,1941,cutting shop,41.438686,-91.038077
Otto Herron,Howard Avenue at corner of Smith Street,1935,1937,cutting shop,41.440466,-91.037564
T.B. Davis,"439 Jackson St, Muscatine, Iowa",1923,1924,cutting shop,41.440079,-91.03519
J.H. Davis,"439 Jackson St, Muscatine, Iowa",1927,1927,cutting shop,41.440079,-91.03519
Gustave Sheppe,"501 Howard Ave, Muscatine, Iowa",1943,1943,cutting shop,41.439812,-91.037305
Chester Wellons,"327 Smith St, Muscatine, Iowa",1943,1943,cutting shop,41.440797,-91.038231
Edward I. Dye,"327 Smith St, Muscatine, Iowa",1943,1946,cutting shop,41.440797,-91.038231
Ronda Button Company,"502 Howard Ave, Muscatine, Iowa",1952,1959,cutting shop,41.439812,-91.037305
Perkins Fresh Water Pearl Products,Clay Street at the corner of Howard Avenue,Period of operation unknown,,cutting shop,41.441924,-91.037257
Charles E. Douglas,"607 Clay St, Muscatine, Iowa",1946,1946,cutting shop,41.44145,-91.037588
Kay C. Morrow,"127 Clay St, Muscatine, Iowa",1949,1952,cutting shop,41.442296,-91.032735
Mickey Brothers Button Company,"934 Scott St, Muscatine, Iowa",1936,1941,cutting shop,41.444737,-91.0433
Lindsley & Eutsler,"1017 E 6th St, Muscatine, Iowa",1921,1921,cutting shop,41.430027,-91.039256